datetime,text,username,target
2022-04-09 20:55:55+00:00,Il pelato terrorizzato dalla bravura di Sissi sinceramente lo capisco #Amici21,heartshreds, 
2022-04-09 20:54:53+00:00," Maestro io un altr’anno così non lo reggo, non scherzo. Questo pelato ci farà sprofondare, non si può andare avanti così.",idirinho_93, 
2022-04-09 20:53:16+00:00,Walter Zenga altro pelato non a caso,luc3po, 
2022-04-09 20:52:26+00:00,quando il pelato gli dice che dovrà preparare l’ennesimo duetto ,m4leducata, 
2022-04-09 20:51:55+00:00,il pelato deve fare il cesso #Amici21 ,pattrouge, 
2022-04-09 20:50:51+00:00,la maestra un’altra incoerente in coppia col pelato ci sta proprio bene,surprenantcoeur, 
2022-04-09 20:50:31+00:00, sono gli effetti della droga che assumono il pelato la c3le,_duedinotte, 
2022-04-09 20:49:15+00:00,forse si è lucidato la pelata,athenaisleclerc, 
2022-04-09 20:48:37+00:00,Quando canta una volta si prende tutta la scena... Oggi un suo concerto Grazie pelato #Amici21,Lucy21062, 
2022-04-09 20:48:27+00:00," Non ho abbastanza esperienza in merito per parlarne così approfonditamente, ma mio nipote fa boxe, è alto 1.78 e deve stare nei 52 kg, livello di massa grassa inesistente ed è in forma",Leftmad, 
